,fecha,portero_l,defensas_l,centrocampistas_l,delanteros_l,alineacion_l,local,Resultado_l,gol_l,gol_v,Resultado_v,visitante,alineacion_v,portero_v,defensas_v,centrocampistas_v,delanteros_v,victorias_l,empates,victorias_v
148,2021-11-28,81.5,74.88,73.67,74.33,4-3-3,REAL MADRID,G,2,1,P,SEVILLA,4-3-3,73.0,70.38,71.62,70.33,102,31,57
149,2021-11-29,72.08,61.21,65.33,62.42,4-4-2,OSASUNA,E,1,1,E,ELCHE,4-4-2,73.17,62.0,63.75,67.83,12,9,11
150,2021-12-03,71.83,64.96,67.92,64.72,4-4-2,GRANADA,G,2,1,P,DEPORTIVO ALAVES,4-3-3,78.5,56.5,59.72,63.71,7,4,5
151,2021-12-04,73.0,70.38,71.62,70.33,4-3-3,SEVILLA,G,1,0,P,VILLARREAL,4-3-3,76.83,63.83,67.72,68.9,25,14,13
152,2021-12-04,86.33,67.42,64.8,71.72,4-3-3,BARCELONA,P,0,1,G,REAL BETIS,4-2-3-1,76.83,66.67,69.83,64.75,79,24,29
153,2021-12-04,85.83,63.11,74.5,75.44,4-4-2,ATLETICO,P,1,2,G,MALLORCA,4-2-3-1,68.17,62.25,65.42,61.17,28,14,17
154,2021-12-04,77.67,63.42,64.0,69.88,4-4-2,R. SOCIEDAD,P,0,2,G,REAL MADRID,4-3-3,81.5,74.88,73.67,72.94,36,41,95
155,2021-12-05,70.5,57.92,67.94,67.0,4-2-3-1,RAYO VALLECANO,G,1,0,P,ESPANYOL,4-5-1,72.67,64.5,68.28,69.56,11,13,17
156,2021-12-05,73.17,62.0,63.75,67.83,4-4-2,ELCHE,G,3,1,P,CADIZ,4-4-2,72.5,63.73,65.0,64.4,11,16,18
157,2021-12-05,68.33,66.0,65.5,69.67,4-3-3,LEVANTE,E,0,0,E,OSASUNA,5-3-2,72.5,59.69,62.89,63.0,13,3,16
158,2021-12-05,68.0,60.17,68.67,72.89,4-4-2,CELTA,P,1,2,G,VALENCIA,4-5-1,79.0,67.33,69.49,62.78,36,33,64
159,2021-12-06,77.0,59.67,65.5,65.42,5-3-2,GETAFE,E,0,0,E,ATHLETIC,4-4-2,77.17,68.38,66.49,51.11,9,12,11
