,portero_l,defensas_l,centrocampistas_l,delanteros_l,alineacion_l,local,Resultado_l,visitante,alineacion_v,portero_v,defensas_v,centrocampistas_v,delanteros_v,victorias_l,empates,victorias_v
103,81.5,74.875,73.45833333333333,72.75,4-3-3,REAL MADRID,G,SEVILLA,4-5-1,73.0,71.375,70.8,72.0,104,31,57
104,76.33333333333333,61.29708333333334,65.46333333333334,66.33333333333333,4-2-3-1,ESPANYOL,E,ELCHE,5-3-2,73.16666666666667,61.366666666666674,58.61111111111111,65.33333333333333,18,12,15
105,76.83333333333333,61.833333333333336,65.23833333333334,62.777499999999996,4-2-3-1,REAL BETIS,P,ATLETICO,4-4-2,85.83333333333333,62.083333333333336,72.44444444444444,74.61111111111113,32,30,70
106,78.33333333333333,55.090833333333336,63.5,61.833333333333336,4-2-3-1,GIRONA,E,OSASUNA,4-5-1,72.5,62.937666666666665,61.666666666666664,68.05555555555556,8,3,10
107,76.83333333333333,65.83333333333333,70.16666666666667,73.33333333333333,4-4-2,VILLARREAL,G,ALMERIA,5-3-2,78.5,56.617,61.611111111111114,63.833333333333336,9,8,4
108,86.33333333333333,63.22166666666667,69.2,75.33333333333333,4-3-3,BARCELONA,G,ATHLETIC,4-2-3-1,77.16666666666667,69.91666666666667,66.29166666666667,68.1388888888889,119,39,79
109,78.83333333333333,59.791666666666664,67.27777777777777,68.1111111111111,4-4-2,CELTA,E,GETAFE,5-3-2,77.0,59.07633333333334,68.68888888888888,64.91666666666667,7,7,8
110,70.33333333333333,63.26666666666667,64.7975,54.5,5-4-1,MALLORCA,E,ESPANYOL,4-3-3,76.33333333333333,61.29708333333334,65.46333333333334,66.33333333333333,26,12,28
111,72.01620370370371,56.687916666666666,62.041666666666664,66.8888888888889,4-2-3-1,ALMERIA,G,CELTA,4-4-2,78.83333333333333,60.41625,67.27777777777777,65.61111111111111,3,1,8
112,72.5,61.73250000000001,63.416666666666664,66.3275,4-4-2,CADIZ,G,ATLETICO,5-3-2,85.83333333333333,62.72222222222223,72.70833333333333,73.33333333333333,5,8,20
113,75.0,69.6111111111111,70.8,71.5,4-2-3-1,SEVILLA,P,RAYO VALLECANO,4-2-3-1,70.5,60.958333333333336,64.66666666666667,64.11111111111111,31,9,12
114,76.41666666666667,67.86666666666667,65.91666666666667,68.6111111111111,4-3-3,VALENCIA,P,BARCELONA,4-3-3,86.33333333333333,66.95791666666666,70.77777777777777,73.0,60,57,109
115,79.0,61.041666666666664,61.405,64.16666666666667,4-5-1,OSASUNA,G,REAL VALLADOLID,5-3-2,78.16666666666667,63.114666666666665,65.66666666666667,67.72222222222223,40,33,28
116,81.5,73.25,74.375,72.75,4-3-3,REAL MADRID,E,GIRONA,4-5-1,78.33333333333333,58.803333333333335,63.5,49.0,4,0,2
117,77.16666666666667,69.91666666666667,63.6875,55.9375,4-2-3-1,ATHLETIC,G,VILLARREAL,4-3-3,76.83333333333333,67.33333333333333,73.0,72.05555555555556,17,16,17
118,77.66666666666667,61.43958333333334,69.05555555555556,64.33333333333333,4-4-2,R. SOCIEDAD,P,REAL BETIS,4-2-3-1,76.83333333333333,60.166666666666664,71.20833333333333,62.777499999999996,47,29,40
119,73.16666666666667,62.03333333333333,60.333333333333336,66.22222222222223,3-6-1,ELCHE,P,GETAFE,5-3-2,77.0,59.00966666666667,68.6111111111111,64.91666666666667,5,12,5
120,78.33333333333333,59.791333333333334,63.5,58.5,4-5-1,GIRONA,G,ATHLETIC,4-2-3-1,77.16666666666667,69.16666666666667,63.6875,55.9375,1,0,3
121,77.0,55.76208333333333,68.6111111111111,69.05555555555556,5-3-2,GETAFE,E,CADIZ,4-4-2,72.5,64.24374999999999,63.416666666666664,66.3275,6,1,5
